"AppName","type","ResourceGroup","Location","TeamOwner"
"07fb78c0-f569-4a3a-a884-3befab04e25a","microsoft.portal/dashboards","dashboards","northcentralus","DSS"
"08a32761-0c31-4904-869c-53567008f295","microsoft.portal/dashboards","dashboards","northcentralus","No Team Tag"
"1 or more claims stuck within last day","microsoft.insights/scheduledqueryrules","prod-pdco-platform-claimsmonitoring-azf-rg","northcentralus","DSS"
"151e8088-3e5b-418d-b7b6-fe7888c431d5","microsoft.insights/workbooks","prod-fuse-usn001-ase-waf-rg","northcentralus","Devops"
"16091cfc-ee85-4288-90cd-f533f9c4f4be","microsoft.insights/workbooks","prod-fuse-usn001-ase-waf-rg","northcentralus","Devops"
"184bbf16-c749-4ac6-b729-0b8f2653d05c-dashboard","microsoft.portal/dashboards","prod-pdco-fuse-batchstatementprocessing-azf-rg","northcentralus","Apollo"
"1a24571e-f565-4580-b5ba-c5ac8139f281","microsoft.portal/dashboards","dashboards","northcentralus","Innovators"
"2 exceptions found in practices api in the past 30 minutes","microsoft.insights/scheduledqueryrules","us-n-dpms-fuse-alert-resources","northcentralus","No Team Tag"
"2 exceptions found in schedule api in the past 30 minutes","microsoft.insights/scheduledqueryrules","us-n-dpms-fuse-alert-resources","westus2","No Team Tag"
"20acd739-4613-4977-95df-d86ba46c450e-dashboard","microsoft.portal/dashboards","prod-monitoring","eastus","No Team Tag"
"23a5f0c0-08c9-4f85-a4f1-7dedddc170a6","microsoft.insights/workbooks","prod-fuse-usn001-ase-waf-rg","northcentralus","Devops"
"24cbd1bf-07ab-4aad-a805-28d2a3c9752c","microsoft.portal/dashboards","dashboards","northcentralus","DevOps"
"269d44df-23ab-41e0-8ffd-01e7997d5509","microsoft.portal/dashboards","dashboards","northcentralus","DevOps"
"2b41b340-daab-4b33-870a-fc34e22fb5c6","microsoft.portal/dashboards","prod-fuse-patientservices-rg","centralus","Apollo"
"2e7248f1-ece3-4aaa-94ed-69207e747496","microsoft.portal/dashboards","dashboards","northcentralus","SRE"
"3875b6e1-6ba2-4c87-816d-74e09ed2c319","microsoft.insights/workbooks","prod-fuse-usn001-ase-waf-rg","northcentralus","Devops"
"39094354-4ce1-4721-819e-c8ffb69b624d","microsoft.portal/dashboards","dashboards","northcentralus","Arwen"
"3a43ef77-735a-40dd-a72a-3000a0392229","microsoft.portal/dashboards","dashboards","northcentralus","Apollo"
"3fe77211-1ead-4a37-a333-2a428d0824b1","microsoft.insights/workbooks","prod-fuse-usn001-ase-waf-rg","eastus","Devops"
"4885e417-d369-4c43-a5cb-fcdc1b360671","microsoft.insights/workbooks","prod-fuse-usn001-ase-waf-rg","northcentralus","Devops"
"502034d7-5a21-444b-965d-0e5dfa74667f","microsoft.portal/dashboards","dashboards","northcentralus","No Team Tag"
"5868eaf3-30f7-4e16-8fc2-2b38b0b66101","microsoft.portal/dashboards","dashboards","northcentralus","No Team Tag"
"58b78960-6cd2-4fae-81a6-fee77a9acb26","microsoft.insights/workbooks","prod-fuse-usn001-ase-waf-rg","northcentralus","Devops"
"590f4f8e-519e-4e43-81aa-b81edcd0712f","microsoft.portal/dashboards","dashboards","northcentralus","Arwen"
"59f30083-8507-498f-8bf9-13bc481a2411","microsoft.portal/dashboards","dashboards","northcentralus","Arwen"
"5b012e8c-6b2d-41ff-bac1-73a5e3dc251b","microsoft.portal/dashboards","dashboards","northcentralus","Fuse, DSS"
"5cf0d849-6d33-4518-a923-7c0a9d7065a8","microsoft.portal/dashboards","dashboards","northcentralus","Arwen"
"66f988a9-e65a-4401-b647-b59b051445df","microsoft.portal/dashboards","dashboards","northcentralus","No Team Tag"
"6af5ed66-e048-40de-b095-8dd4810a1e07-dashboard","microsoft.portal/dashboards","prod-fuse-service-insurance-api-rg","northcentralus","Progressive"
"6bd54680-ced2-4329-a9f4-9d342ef90248-dashboard","microsoft.portal/dashboards","prod-fuse-scheduling-asev3-rg","northcentralus","Arwen"
"6c15ce7e-5d4b-4083-b5c4-e2371d94158b","microsoft.portal/dashboards","dashboards","northcentralus","Arwen"
"7621e568-61ba-4ce2-b323-5532c8e0efcd","microsoft.portal/dashboards","dashboards","northcentralus","DSS"
"780771b6-b688-49e0-9748-52ed94648505","microsoft.portal/dashboards","dashboards","northcentralus","Innovators"
"7d260642-3ce9-4e48-a017-c8bb023193ed","microsoft.portal/dashboards","dashboards","northcentralus","No Team Tag"
"7edad3f3-62b4-42a0-8e3a-7321ac28c0fa","microsoft.insights/workbooks","prod-fuse-usn001-ase-waf-rg","eastus","Devops"
"87d1c1a1-8eba-4048-a07a-1a9c857a8683","microsoft.insights/workbooks","prod-fuse-usn001-ase-waf-rg","northcentralus","Devops"
"8e0e05c6-080e-4b5d-9d76-725ef9303110","microsoft.portal/dashboards","dashboards","northcentralus","Arwen"
"9264254c-89d5-4932-b172-d5d6654d46ab","microsoft.portal/dashboards","dashboards","northcentralus","No Team Tag"
"93817aa8-fdad-4e35-893d-3cbe9ab33cb9","microsoft.insights/workbooks","prod-platform-partnerclaimssubmissionprocessor-svc-rg","centralus","DevOps"
"9d1e20af-772e-4d78-9b6a-10ed2c5a4c9d","microsoft.portal/dashboards","dashboards","northcentralus","Progressive"
"AELMessageProcessorServiceBus","microsoft.web/connections","prod-pdco-fuse-activityeventfailedmessageprocessor-azf-rg","northcentralus","Innovators"
"ASP-PRODFUSECutomerServiceUserSynch-a3a8","microsoft.web/serverfarms","prod-fuse-cutomerservice-user-synch-azf","northcentralus","DevOps"
"ASP-PRODFusegetuserverificationstat-931e","microsoft.web/serverfarms","prod-fuse-get-user-verification-status-azf","northcentralus","DevOps"
"ASP-PRODReleaseAutomatedCommunicati-8fc0","microsoft.web/serverfarms","prod-release-automated-communication","northcentralus","DevOps SRE"
"ASP-PRODSRErg-b1bd","microsoft.web/serverfarms","prod-sre-rg","northcentralus","DevOps"
"ActivityAbsenceAlert","microsoft.insights/scheduledqueryrules","prod-platform-partnerclaimssubmissionprocessor-svc-rg","centralus","No Team Tag"
"Application Insights Smart Detection","microsoft.insights/actiongroups","prod-fuse-patientservices-rg","global","Apollo"
"Apteryx Federated Auth Failure","microsoft.insights/scheduledqueryrules","prod-platform-token-api-rg","northcentralus","DSS"
"Availability - platfilebackup004 - Blob","microsoft.insights/metricalerts","us-n-dpms-rsg-soar-004","global","No Team Tag"
